monto_prestamo,plazo,tasa_interes,trabajo_prestatario,antiguedad_prestatario,estatus_vivienda,ingreso_anual,estatus_verif_ingreso,fecha_prestamo,estatus_prestamo,tipo_prestamo,estado_vive,proporcion_pagos,pagos_recib,cargos_atrasados,pagos_mes_anterior,meses_mala_calif,tipo_solicitud,ingreso_conjunto,cuentas_mora,saldo_total,saldo_plazos,hipotecas,metodo_recibe_pago
8000,36 months,15.02,sewing,10+ years,MORTGAGE,35000,Source Verified,01-12-2018,Current,Debt consolidation,SC,17.94,564.83,0,01-02-2019,,Individual,,0,22179,18023,0,Cash
10000,36 months,13.56,House Keeping,3 years,RENT,36000,Not Verified,01-12-2018,Current,Debt consolidation,NY,7.73,671.77,0,01-02-2019,,Individual,,0,10723,0,0,Cash
9000,36 months,13.56,shift coordinator 1,10+ years,RENT,70000,Not Verified,01-12-2018,Current,Debt consolidation,NJ,31.05,604.58,0,01-02-2019,58,Individual,,0,44529,36085,0,DirectPay
14500,60 months,20.89,Sr. Procurement Analyst,4 years,MORTGAGE,84000,Not Verified,01-12-2018,In Grace Period,Debt consolidation,NY,8.97,374.55,0,01-01-2019,44,Individual,,0,186815,12404,2,Cash
20000,60 months,11.31,Program Analyst,6 years,MORTGAGE,84682,Source Verified,01-12-2018,Current,Credit card refinancing,CA,10.64,863.33,0,01-02-2019,,Individual,,0,184562,6946,1,Cash
38000,60 months,10.72,IST,10+ years,RENT,75000,Source Verified,01-12-2018,Current,Debt consolidation,TX,15.34,1777.63,0,01-02-2019,,Individual,,0,126803,50733,3,Cash
27200,60 months,16.14,Technologist,7 years,MORTGAGE,66000,Source Verified,01-12-2018,Current,Credit card refinancing,MN,26.78,1302.57,0,01-02-2019,,Individual,,0,228778,44011,1,Cash
8000,36 months,19.92,Uber contractor,3 years,RENT,480000,Source Verified,01-12-2018,Current,Debt consolidation,NY,2.74,585.13,0,01-02-2019,,Individual,,0,37874,29588,0,Cash
12000,36 months,15.02,Assistant Professor,1 year,MORTGAGE,76000,Source Verified,01-12-2018,Current,Debt consolidation,GA,19.39,822.21,0,01-02-2019,23,Individual,,0,72559,57239,0,DirectPay
5000,36 months,8.19,Lpn,10+ years,RENT,68000,Not Verified,01-12-2018,Current,Credit card refinancing,NJ,19.26,311.98,0,01-02-2019,,Individual,,0,43947,37290,0,Cash
25000,36 months,8.19,registered nurse,7 years,MORTGAGE,78000,Not Verified,01-12-2018,Current,Debt consolidation,VA,31.17,1554.16,0,01-02-2019,,Individual,,0,260755,25481,1,Cash
10000,36 months,12.98,Assistant Director of Training,10+ years,RENT,72000,Not Verified,01-12-2018,Current,Credit card refinancing,MI,20.67,666.49,0,01-02-2019,71,Individual,,0,24197,20806,2,Cash
40000,60 months,14.47,PROGRAM SPECIALIST,10+ years,MORTGAGE,137000,Source Verified,01-12-2018,Current,Home improvement,WV,12.58,1848.86,0,01-02-2019,73,Individual,,0,288557,8504,3,Cash
10000,36 months,7.56,IT,3 years,MORTGAGE,90000,Verified,01-12-2018,Current,Debt consolidation,VA,9.25,618.48,0,01-02-2019,,Individual,,0,347275,11518,2,Cash
11150,36 months,16.91,supervisor,10+ years,MORTGAGE,78000,Source Verified,01-12-2018,Current,Debt consolidation,NC,29.46,804.54,0,01-02-2019,,Individual,,0,347930,87245,3,Cash
35000,60 months,20.89,Police officer,10+ years,RENT,90000,Source Verified,01-12-2018,Current,Debt consolidation,IL,15.75,1808.18,0,01-02-2019,47,Individual,,0,44956,31632,0,Cash
20000,60 months,19.92,Payroll Manager,10+ years,MORTGAGE,66000,Verified,01-12-2018,Current,Debt consolidation,DE,28.99,1090.42,0,01-02-2019,,Individual,,0,44868,24964,0,Cash
15000,36 months,10.72,Fresh Fruit Invoicing Manager,2 years,RENT,62000,Not Verified,01-12-2018,Current,Debt consolidation,CA,5.67,1586.9,0,01-02-2019,,Individual,,0,15062,2877,0,DirectPay
20000,36 months,16.14,Tech,8 years,MORTGAGE,52000,Source Verified,01-12-2018,Current,Debt consolidation,MI,37.78,1373.19,0,01-02-2019,,Individual,,0,34302,25937,1,Cash
6400,36 months,8.81,Material Support Technician,10+ years,MORTGAGE,65000,Source Verified,01-12-2018,Current,Debt consolidation,KS,12.83,399.66,0,01-02-2019,,Individual,,0,180110,24405,5,Cash
20000,36 months,10.33,,< 1 year,RENT,60000,Not Verified,01-12-2018,Current,Debt consolidation,OR,16.8,1337.07,0,01-02-2019,,Individual,,0,44971,30864,0,Cash
15000,60 months,10.72,Machine operator,10+ years,MORTGAGE,67000,Source Verified,01-12-2018,Current,Credit card refinancing,IN,24.54,630.23,0,01-02-2019,,Individual,,0,111177,35077,1,DirectPay
6600,36 months,18.94,Machinist,4 years,RENT,95000,Not Verified,01-12-2018,Current,Debt consolidation,MO,10.33,469.57,0,01-02-2019,,Individual,,0,28243,24106,0,Cash
4800,36 months,13.56,,n/a,RENT,60000,Not Verified,01-12-2018,Current,Credit card refinancing,SC,13.86,318.83,0,01-02-2019,,Individual,,0,28110,23136,0,Cash
22000,60 months,25.34,Systems Admin,5 years,OWN,75000,Verified,01-12-2018,Current,Debt consolidation,DE,28.82,1238.32,0,01-02-2019,44,Individual,,0,55628,30527,1,Cash
20000,60 months,18.94,Cap 1 Fresh stocker,10+ years,OWN,25000,Not Verified,01-12-2018,Current,Other,TN,16.32,994.23,0,01-02-2019,,Individual,,0,6825,5319,0,Cash
32000,60 months,22.35,Regional director,2 years,MORTGAGE,91000,Source Verified,01-12-2018,Current,Debt consolidation,TX,25.81,1700.91,0,01-02-2019,,Individual,,0,263961,41361,2,Cash
36000,36 months,6.46,,< 1 year,MORTGAGE,110000,Verified,01-12-2018,Current,Credit card refinancing,IL,28.37,2179.58,0,01-02-2019,,Individual,,0,268434,39201,1,DirectPay
35000,60 months,18.94,Utilization Management Nurse,< 1 year,MORTGAGE,57000,Source Verified,01-12-2018,Current,Debt consolidation,OK,67.26,1776.71,0,01-02-2019,,Joint App,177000,0,289844,262071,2,Cash
30000,60 months,26.31,Lead installer,9 years,MORTGAGE,58000,Source Verified,01-12-2018,Current,Debt consolidation,GA,26.15,2340.81,0,01-02-2019,,Joint App,116000,0,166255,36579,1,Cash
6600,36 months,6.46,,n/a,RENT,24000,Verified,01-12-2018,Current,Debt consolidation,NC,24.3,385.39,0,01-02-2019,,Individual,,0,15293,6926,0,DirectPay
4800,36 months,8.81,Teacher,8 years,MORTGAGE,250000,Source Verified,01-12-2018,Current,Debt consolidation,NJ,2.98,304.33,0,01-02-2019,,Individual,,0,15274,0,1,Cash
22500,60 months,12.98,Staff Accounting,8 years,MORTGAGE,62000,Verified,01-12-2018,Current,Debt consolidation,WA,18.16,1047.78,0,01-02-2019,,Individual,,0,255939,50706,5,Cash
12000,36 months,14.47,Office Manager,1 year,MORTGAGE,32000,Verified,01-12-2018,Current,Debt consolidation,FL,30.31,816.11,0,01-02-2019,,Individual,,0,109978,5597,1,DirectPay
11000,60 months,10.72,,n/a,OWN,30474,Not Verified,01-12-2018,Current,Debt consolidation,CA,14.09,462.18,0,01-02-2019,,Individual,,0,8844,8751,1,Cash
28800,36 months,20.89,Full stack developer,< 1 year,RENT,70000,Source Verified,01-12-2018,Fully Paid,Debt consolidation,CA,11.78,28821.7236,0,01-12-2018,,Individual,,0,70745,47891,0,Cash
25000,60 months,10.33,Owner,10+ years,MORTGAGE,50000,Not Verified,01-12-2018,Current,Debt consolidation,ME,0.65,1056.15,0,01-02-2019,,Joint App,88000,0,39089,0,1,Cash
21000,60 months,12.98,Teacher,8 years,MORTGAGE,112003,Not Verified,01-12-2018,Current,Debt consolidation,TX,17.97,940.06,0,01-02-2019,,Joint App,178806,0,251073,70932,1,Cash
14000,36 months,13.56,Correctional Officer,5 years,MORTGAGE,110000,Verified,01-12-2018,Current,Home improvement,CA,24.31,940.47,0,01-02-2019,,Individual,,0,542999,93663,2,Cash
5600,36 months,12.98,Radiologic Technologist,5 years,MORTGAGE,50000,Not Verified,01-12-2018,Current,Credit card refinancing,SD,35.62,361.13,0,01-02-2019,24,Individual,,0,256492,119454,3,Cash
19000,60 months,12.98,cnc programming,9 years,MORTGAGE,91000,Source Verified,01-12-2018,Current,Debt consolidation,IL,17.71,850.54,0,01-02-2019,,Individual,,0,237490,37177,2,Cash
19000,36 months,7.02,Program Specialist III,10+ years,RENT,66000,Not Verified,01-12-2018,Current,Debt consolidation,CA,37.13,1166.27,0,01-02-2019,,Individual,,0,64161,33737,0,DirectPay
25000,60 months,19.92,Aircraft inspector,6 years,RENT,88000,Source Verified,01-12-2018,Current,Debt consolidation,AZ,18.46,1294.81,0,01-02-2019,,Individual,,0,154975,62383,1,Cash
5500,36 months,16.14,Med tech / Caregiver,2 years,RENT,20800,Source Verified,01-12-2018,Current,Debt consolidation,FL,4.85,382.57,0,01-02-2019,,Individual,,0,2946,0,0,DirectPay
3000,36 months,18.94,Teacher,10+ years,MORTGAGE,0,Not Verified,01-12-2018,Current,Other,CA,,216.6,0,01-02-2019,,Joint App,103000,0,308983,54150,1,Cash
16800,60 months,14.47,Senior Treausry Analyst,< 1 year,RENT,62000,Not Verified,01-12-2018,Current,Credit card refinancing,CT,20.94,776.53,0,01-02-2019,,Individual,,0,65858,44309,0,Cash
8000,36 months,16.14,,< 1 year,RENT,12000,Not Verified,01-12-2018,Current,Credit card refinancing,MT,5,556.45,0,01-02-2019,,Individual,,0,1328,0,0,Cash
10000,36 months,15.02,Certified Nursing Assistant,10+ years,OWN,40000,Source Verified,01-12-2018,Current,Debt consolidation,TN,18.6,685.18,0,01-02-2019,,Individual,,0,71923,10667,1,Cash
10000,60 months,19.92,foreman convention freight center,10+ years,MORTGAGE,47000,Source Verified,01-12-2018,Current,Debt consolidation,NV,4.57,551.13,0,01-02-2019,42,Individual,,0,181714,2783,2,Cash
10000,60 months,23.4,Electrician,4 years,MORTGAGE,65000,Not Verified,01-12-2018,Current,Home improvement,GA,12.04,555.42,0,01-02-2019,58,Individual,,0,131063,8080,2,Cash
10000,36 months,6.46,HVAC TECH,1 year,MORTGAGE,60000,Not Verified,01-12-2018,Current,Debt consolidation,NY,22.92,609.03,0,01-02-2019,48,Individual,,0,176952,36324,1,DirectPay
13000,36 months,13.56,Medical assistant,< 1 year,RENT,30995,Source Verified,01-12-2018,Current,Credit card refinancing,CA,38.23,873.29,0,01-02-2019,,Joint App,67876,0,51002,44613,0,Cash
20000,36 months,15.02,Injection Molding Manager,< 1 year,RENT,62000,Source Verified,01-12-2018,Current,Debt consolidation,ID,14.69,1370.33,0,01-02-2019,,Individual,,0,13244,9611,0,Cash
4000,36 months,7.56,,< 1 year,MORTGAGE,79000,Verified,01-12-2018,Current,Vacation,CA,3.49,247.4,0,01-02-2019,,Joint App,129000,0,3844,383,0,Cash
10000,36 months,11.31,Tank Mechanic shop foreman,10+ years,RENT,70373.88,Verified,01-12-2018,Current,Debt consolidation,TX,19.09,651.44,0,01-02-2019,45,Individual,,0,48935,43696,2,Cash
20000,60 months,16.91,Sales Consultant,2 years,RENT,60000,Source Verified,01-12-2018,Current,Credit card refinancing,FL,8.91,973.39,0,01-02-2019,,Individual,,0,7547,0,0,Cash
28800,60 months,11.8,Material Handler,6 years,RENT,80000,Verified,01-12-2018,Current,Debt consolidation,TX,36.05,1256.6,0,01-02-2019,,Joint App,236250,0,92621,60291,1,Cash
2400,36 months,25.34,Operations Area Supervisor,10+ years,RENT,26000,Source Verified,01-12-2018,Current,Debt consolidation,VA,18.37,188.34,0,01-02-2019,,Individual,,0,12301,0,0,Cash
20000,36 months,6.46,,< 1 year,MORTGAGE,100000,Source Verified,01-12-2018,Current,Debt consolidation,CA,17.48,1218.06,0,01-02-2019,,Individual,,0,557280,15264,2,DirectPay
13000,36 months,8.19,Senior Human Resources Associate,3 years,MORTGAGE,43750,Not Verified,01-12-2018,Current,Debt consolidation,OH,26.21,831.83,0,01-02-2019,,Joint App,89750,0,160990,29732,1,DirectPay
10000,60 months,16.14,Equipment technician,1 year,MORTGAGE,85000,Not Verified,01-12-2018,Current,Home improvement,TX,7,469.93,0,01-02-2019,36,Individual,,0,217577,2071,1,Cash
1825,36 months,10.72,Paraprofessional,10+ years,RENT,22000,Source Verified,01-12-2018,Current,Debt consolidation,CT,39.03,116.85,0,01-02-2019,,Individual,,0,22972,0,0,Cash
20000,60 months,16.91,machinist operator,10+ years,MORTGAGE,75000,Source Verified,01-12-2018,Current,Debt consolidation,CA,19.92,954.6,0,01-02-2019,,Individual,,0,45954,43218,0,Cash
10000,60 months,22.35,,n/a,MORTGAGE,11500,Verified,01-12-2018,Fully Paid,Debt consolidation,CA,94.26,10204.4787774159,0,01-01-2019,,Joint App,102500,0,393927,27970,1,Cash
4000,36 months,7.02,Housekeeping supervisor,4 years,RENT,28000,Not Verified,01-12-2018,Current,Other,NC,6.52,243.98,0,01-02-2019,,Individual,,0,6152,6116,0,Cash
5500,36 months,6.46,CNA,10+ years,RENT,35000,Not Verified,01-12-2018,Current,Debt consolidation,WI,16.53,332.99,0,01-02-2019,,Individual,,0,10036,4260,0,DirectPay
7000,36 months,16.91,supervisor,10+ years,RENT,60000,Source Verified,01-12-2018,Current,Debt consolidation,MI,24.4,485.37,0,01-02-2019,,Individual,,0,26286,17338,0,Cash
10000,36 months,19.92,,n/a,RENT,50000,Not Verified,01-12-2018,Current,Debt consolidation,NY,23.36,742.47,0,01-02-2019,,Joint App,120000,0,20300,7254,0,Cash
25000,36 months,6.46,Assistant Professor,< 1 year,RENT,75000,Source Verified,01-12-2018,Current,Credit card refinancing,MN,10.35,1513.6,0,01-02-2019,,Individual,,0,24634,0,0,DirectPay
12000,60 months,15.02,"Executive Director, Human Research",10+ years,MORTGAGE,160000,Source Verified,01-12-2018,Current,Home improvement,NJ,25.65,551.19,0,01-02-2019,45,Individual,,0,386153,140517,2,Cash
9600,36 months,11.8,Truck Driver,5 years,RENT,90000,Not Verified,01-12-2018,Current,Other,IL,9.24,623.31,0,01-02-2019,,Individual,,0,18606,5986,0,Cash
10000,60 months,15.02,,10+ years,MORTGAGE,50000,Not Verified,01-12-2018,Current,Credit card refinancing,CT,24.03,459.33,0,01-02-2019,,Individual,,0,143819,11572,2,Cash
10000,36 months,10.72,Director International Tax/Tax Counsel,8 years,MORTGAGE,330000,Not Verified,01-12-2018,Current,Credit card refinancing,NJ,17.32,640.23,0,01-02-2019,,Individual,,0,344773,41892,2,DirectPay
19000,36 months,18.94,Closing Manager,< 1 year,RENT,40000,Verified,01-12-2018,Current,Debt consolidation,GA,27.09,1351.8,0,01-02-2019,63,Individual,,0,37080,15255,3,Cash
4000,36 months,7.56,,< 1 year,MORTGAGE,40000,Not Verified,01-12-2018,Current,Moving and relocation,KY,34.77,245.72,0,01-02-2019,,Individual,,0,42705,29947,0,Cash
31000,60 months,19.92,Accounting Manager,6 years,RENT,80000,Not Verified,01-12-2018,Current,Debt consolidation,DC,22.56,1571.27,0,01-02-2019,,Individual,,0,42006,18088,0,Cash
5000,36 months,20.89,Agent/Receptionist,4 years,MORTGAGE,29000,Source Verified,01-12-2018,Current,Home improvement,WV,25.7,370.4,0,01-02-2019,60,Individual,,0,62618,12735,2,Cash
24000,60 months,17.97,,< 1 year,OWN,80000,Source Verified,01-12-2018,Current,Home improvement,IN,17.54,1170.2,0,01-02-2019,,Individual,,0,31004,16763,0,Cash
20000,36 months,11.31,,n/a,MORTGAGE,36000,Source Verified,01-12-2018,Current,Credit card refinancing,FL,16.5,1290.31,0,01-02-2019,52,Individual,,0,14994,2446,4,Cash
35000,36 months,22.35,Director,< 1 year,RENT,250000,Source Verified,01-12-2018,Current,Credit card refinancing,CA,34.27,2855.59,0,01-02-2019,6,Joint App,310000,0,251366,197523,0,Cash
25000,36 months,13.56,,< 1 year,MORTGAGE,95000,Verified,01-12-2018,Current,Debt consolidation,MA,4.91,1726.48,0,01-02-2019,68,Individual,,0,135276,0,2,Cash
10000,36 months,15.02,Paralegal,8 years,MORTGAGE,65000,Not Verified,01-12-2018,Current,Credit card refinancing,CA,11.87,1011.55,0,01-02-2019,35,Individual,,0,375252,12842,1,Cash
27000,36 months,16.14,Clinical Manager/Director of Nursing,3 years,RENT,90000,Source Verified,01-12-2018,Current,Debt consolidation,TN,27,1878.01,0,01-02-2019,,Individual,,0,75337,49745,1,DirectPay
1000,36 months,8.19,,n/a,OWN,18500,Not Verified,01-12-2018,Current,Medical expenses,IL,14.6,62.4,0,01-02-2019,,Individual,,0,3468,2854,1,Cash
12000,36 months,8.19,SEM/PPC SPecialist,< 1 year,RENT,58500,Not Verified,01-12-2018,Current,Debt consolidation,IL,22.13,748.72,0,01-02-2019,,Individual,,0,47738,33090,0,Cash
